vine,scion,rootstock,block,year,soluble_solids_content,titratable_acidity_gL,pH,berry_weight_g,yield_kg,cluster_number,pruning_weight_kg,yield_div_pruning_weight,avg_cluster_weight_g,cluster_divide_berry_weight,bloom_petiole_B_mgL,bloom_petiole_Ca_mgL,bloom_petiole_Cl_mgL,bloom_petiole_Cu_mgL,bloom_petiole_Fe_mgL,bloom_petiole_K_mgL,bloom_petiole_Mg_mgL,bloom_petiole_Mn_mgL,bloom_petiole_Na_mgL,bloom_petiole_NO3_mgL,bloom_petiole_P_mgL,bloom_petiole_S_mgL,bloom_petiole_Zn_mgL,cordon_length_Mvine,shoots_per_linearm,shoots_per_vine,yeast_assimilable_N_mgL,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width
Cab_039-16_1,Cab,039-16,1,1995,22.6,5.9,3.49,0.84,8.333333333,95,0.596666667,13.96648045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727
Cab_039-16_2,Cab,039-16,2,1995,22.2,6.9,3.51,1.33,13.33333333,93.66666667,1.116666667,11.94029851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704
Cab_039-16_3,Cab,039-16,3,1995,22.2,6.9,3.4,1.11,16.33333333,121,1.266666667,12.89473684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.021586799,0.085380377,0.419415791,0.061596384,0.118299694,0.085395156,0.208996981,0.105567237,0.204758315,0.071342239,0.181090012,0.102448942,0.073161428,0.076335394,0.077664587,0.093484723,1.27381767,0.070953221,4.33129495
Cab_039-16_4,Cab,039-16,4,1995,22,7.1,3.47,1.25,15.33333333,118,1.2,12.77777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.090769164,0.057170808,0.418218599,0.064500264,0.1100347,0.073414047,0.154322522,0.064496402,0.1270513,0.066005912,0.141533402,0.066707995,0.086423354,0.057726878,0.044622491,0.058025249,1.78929709,0.056737413,4.52705759
Cab_101-14 MGT_1,Cab,101-14 MGT,1,1995,23,7.2,3.31,1.2,12.66666667,116.6666667,0.576666667,21.96531792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.793417308,0.079382522,0.487623133,0.062140768,0.093399668,0.093620529,0.19920673,0.091956435,0.210467105,0.101595394,0.282847065,0.085502335,0.196722499,0.081607877,0.082250773,0.105575493,1.439815478,0.057273679,4.54440479
Cab_101-14 MGT_2,Cab,101-14 MGT,2,1995,23,6.6,3.45,1.39,15.33333333,107,0.796666667,19.24686192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.769202727,0.068888734,0.426268909,0.056173386,0.103969747,0.100084899,0.099675398,0.067446395,0.103615749,0.067521292,0.074803445,0.080548152,0.056514524,0.076308705,0.038708851,0.052600801,1.050241658,0.062382351,3.354955722
Cab_101-14 MGT_3,Cab,101-14 MGT,3,1995,23.8,7,3.48,1.17,14.66666667,107.3333333,1.1,13.33333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.011832349,0.0772544,0.42769368,0.067509291,0.132168413,0.087409112,0.135943539,0.088224408,0.126663126,0.072586437,0.162766635,0.073365468,0.080196165,0.080108105,0.09251621,0.105093199,1.60850494,0.075824035,4.505659512
Cab_101-14 MGT_4,Cab,101-14 MGT,4,1995,22.4,7.2,3.53,1.16,12.33333333,111.3333333,1.266666667,9.736842105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.952124489,0.060589659,0.391345057,0.083856727,0.156813221,0.104443048,0.16692433,0.075515676,0.155391477,0.060807664,0.108100888,0.07907053,0.054334942,0.062332707,0.062831871,0.07039735,1.352358068,0.066332393,4.063570097
Cab_110 Richter_1,Cab,110 Richter,1,1995,22.4,7.3,3.32,1.18,18,107,1.1,16.36363636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.714314253,0.048067608,0.590456403,0.068958873,0.27316371,0.076690801,0.135522471,0.094234277,0.155890288,0.112963627,0.16947192,0.101749692,0.195802831,0.099884765,0.103297465,0.110004648,2.040029837,0.089790402,5.180293871
Cab_110 Richter_2,Cab,110 Richter,2,1995,22.2,6.6,3.5,1.1,13.66666667,105,0.863333333,15.83011583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.888165152,0.074890679,0.483366654,0.083057075,0.112632449,0.149926666,0.156423442,0.123680372,0.113472302,0.109510497,0.153796722,0.113937232,0.096315012,0.082813186,0.070156757,0.091553277,1.369754195,0.061947838,4.335399508
Cab_110 Richter_3,Cab,110 Richter,3,1995,23.6,7.8,3.4,1.17,13,99,1.216666667,10.68493151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.464576478,0.049967431,0.517722517,0.074408327,0.335155658,0.065473774,0.239148876,0.058276021,0.239989989,0.066536011,0.195141859,0.06953997,0.165129851,0.063928365,0.10801857,0.06950862,1.865920041,0.086236849,4.734679208
Cab_110 Richter_4,Cab,110 Richter,4,1995,23.4,7.2,3.5,1.25,14,109.3333333,1.466666667,9.545454545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.649965914,0.051009884,0.509601423,0.072332024,0.313321378,0.092535967,0.204370859,0.095369087,0.174899978,0.099636878,0.205943617,0.102626963,0.085062402,0.076059752,0.131656124,0.113275052,1.839823548,0.062203762,4.879694613
