vine,scion,rootstock,row,block,slice,ring,width_cm
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,1,1.210304122
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,1,1.159902342
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,1,1.073613453
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,2,0.497422962
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,2,0.502875722
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,2,0.447857906
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,3,0.238964787
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,3,0.179045304
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,3,0.132336151
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,4,0.22306702
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,4,0.221681916
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,4,0.211707837
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,5,0.181031226
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,5,0.204893205
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,5,0.193247204
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,6,0.207741096
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,6,0.213748205
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,6,0.203234889
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,7,0.149642368
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,7,0.132167886
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,7,0.15064044
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,8,0.080603119
Cab_039-16_18_4,Cab,039-16,18,4,Slice 171,8,0.10257338
Cab_039-16_18_4,Cab,039-16,18,4,Slice 1334,8,0.124766722
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,1,1.113473836
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,1,1.08202652
Cab_039-16_20_3,Cab,039-16,20,3,Slice 155,1,1.125401173
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,2,0.47711915
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,2,0.494614262
Cab_039-16_20_3,Cab,039-16,20,3,Slice 155,2,0.471303113
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,3,0.219624921
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,3,0.208475384
Cab_039-16_20_3,Cab,039-16,20,3,Slice 155,3,0.182984246
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,4,0.320717728
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,4,0.329285052
Cab_039-16_20_3,Cab,039-16,20,3,Slice 155,4,0.293689874
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,5,0.287460881
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,5,0.259145354
Cab_039-16_20_3,Cab,039-16,20,3,Slice 155,5,0.281695426
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,6,0.296420848
