vine,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width
Cab_039-16_1,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727
Cab_039-16_2,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704
Cab_039-16_3,1.021586799,0.085380377,0.419415791,0.061596384,0.118299694,0.085395156,0.208996981,0.105567237,0.204758315,0.071342239,0.181090012,0.102448942,0.073161428,0.076335394,0.077664587,0.093484723,1.27381767,0.070953221,4.33129495
Cab_039-16_4,1.090769164,0.057170808,0.418218599,0.064500264,0.1100347,0.073414047,0.154322522,0.064496402,0.1270513,0.066005912,0.141533402,0.066707995,0.086423354,0.057726878,0.044622491,0.058025249,1.78929709,0.056737413,4.52705759
Chard_039-16_1,0.706834447,0.066873548,0.296610871,0.062427742,0.125232909,0.059864795,0.125773235,0.062989245,0.12704062,0.059666112,0.14445855,0.057247162,0.068786159,0.043977225,0.062156538,0.047247783,0.891977855,0.064634922,3.073799715
Chard_039-16_3,0.633660958,0.090535816,0.321180334,0.089197771,0.227075501,0.096509705,0.256272718,0.075236236,0.280295331,0.068612479,0.233994938,0.117275246,0.198239125,0.06872967,0.135929533,0.088466733,1.888278292,0.052039708,4.921530096
Chard_039-16_4,0.49282239,0.059854045,0.298722661,0.064710629,0.162858897,0.074824005,0.191369164,0.069593087,0.215323167,0.063962516,0.153406361,0.056173261,0.093148698,0.056969006,0.044908199,0.047104583,1.360096847,0.053108252,3.558955769
Cab_101-14 MGT_1,0.793417308,0.079382522,0.487623133,0.062140768,0.093399668,0.093620529,0.19920673,0.091956435,0.210467105,0.101595394,0.282847065,0.085502335,0.196722499,0.081607877,0.082250773,0.105575493,1.439815478,0.057273679,4.54440479
Cab_101-14 MGT_2,0.769202727,0.068888734,0.426268909,0.056173386,0.103969747,0.100084899,0.099675398,0.067446395,0.103615749,0.067521292,0.074803445,0.080548152,0.056514524,0.076308705,0.038708851,0.052600801,1.050241658,0.062382351,3.354955722
Cab_101-14 MGT_3,1.011832349,0.0772544,0.42769368,0.067509291,0.132168413,0.087409112,0.135943539,0.088224408,0.126663126,0.072586437,0.162766635,0.073365468,0.080196165,0.080108105,0.09251621,0.105093199,1.60850494,0.075824035,4.505659512
Cab_101-14 MGT_4,0.952124489,0.060589659,0.391345057,0.083856727,0.156813221,0.104443048,0.16692433,0.075515676,0.155391477,0.060807664,0.108100888,0.07907053,0.054334942,0.062332707,0.062831871,0.07039735,1.352358068,0.066332393,4.063570097
Chard_101-14 MGT_1,0.466624031,0.038816178,0.283764043,0.039039115,0.141748904,0.044610931,0.138271477,0.04931824,0.14562376,0.047349854,0.107300283,0.04708261,0.080233276,0.037987512,0.082901768,0.057569303,1.032028837,0.062412382,2.902682503
Chard_101-14 MGT_2,0.49986881,0.048637497,0.183554385,0.05142528,0.079710333,0.058907244,0.10098658,0.055329732,0.108970521,0.04830787,0.14666167,0.05082043,0.062253783,0.0432326,0.050357588,0.05515614,1.085914923,0.051337953,2.78143334
Chard_101-14 MGT_3,0.465094058,0.063467441,0.266360346,0.07231216,0.129504193,0.066658504,0.139478016,0.061813477,0.226165514,0.064385269,0.285315949,0.05939943,0.084616682,0.054179089,0.15404352,0.062576116,0.987758008,0.070651297,3.313779068
Chard_101-14 MGT_4,0.768940625,0.061330811,0.285056041,0.054958538,0.095763172,0.042531597,0.094322849,0.041702142,0.15377895,0.039386895,0.124676858,0.043639591,0.061103394,0.04980251,0.067273939,0.051343883,0.95784398,0.104486918,3.097942693
Cab_110 Richter_1,0.714314253,0.048067608,0.590456403,0.068958873,0.27316371,0.076690801,0.135522471,0.094234277,0.155890288,0.112963627,0.16947192,0.101749692,0.195802831,0.099884765,0.103297465,0.110004648,2.040029837,0.089790402,5.180293871
Cab_110 Richter_2,0.888165152,0.074890679,0.483366654,0.083057075,0.112632449,0.149926666,0.156423442,0.123680372,0.113472302,0.109510497,0.153796722,0.113937232,0.096315012,0.082813186,0.070156757,0.091553277,1.369754195,0.061947838,4.335399508
Cab_110 Richter_3,0.464576478,0.049967431,0.517722517,0.074408327,0.335155658,0.065473774,0.239148876,0.058276021,0.239989989,0.066536011,0.195141859,0.06953997,0.165129851,0.063928365,0.10801857,0.06950862,1.865920041,0.086236849,4.734679208
Cab_110 Richter_4,0.649965914,0.051009884,0.509601423,0.072332024,0.313321378,0.092535967,0.204370859,0.095369087,0.174899978,0.099636878,0.205943617,0.102626963,0.085062402,0.076059752,0.131656124,0.113275052,1.839823548,0.062203762,4.879694613
Chard_110 Richter_1,0.685090742,0.066315525,0.276418836,0.058676193,0.202702723,0.060731064,0.145692306,0.051240305,0.12854045,0.055295457,0.144663504,0.059135814,0.106139222,0.053394024,0.056535016,0.059203414,0.911579479,0.064800016,3.186154093
Chard_110 Richter_2,0.812442477,0.067640905,0.306878213,0.050106492,0.149544686,0.048290782,0.152455191,0.044779178,0.096941689,0.040055858,0.096181105,0.055042543,0.062741812,0.035125793,0.08312513,0.042536872,1.426230276,0.055926408,3.626045411
Chard_110 Richter_3,0.688403235,0.060647638,0.341595772,0.070843,0.18524052,0.089480309,0.225219661,0.077807526,0.247550118,0.086525132,0.120210517,0.08257713,0.066965237,0.060296752,0.088958217,0.070305658,1.09687186,0.082208042,3.741706321
Chard_110 Richter_4,0.693331536,0.060296798,0.301732306,0.059062936,0.152084295,0.072392187,0.191237311,0.055801679,0.171197698,0.051950446,0.17309691,0.052233867,0.098985962,0.056422102,0.065207327,0.056408842,1.201462217,0.069815368,3.582719785
Cab_1103 Paulsen_1,0.407700498,0.057924652,0.635397555,0.069328742,0.44382777,0.07903548,0.244943706,0.087296111,0.143873011,0.064434362,0.125067812,0.075536475,0.071470078,0.052125031,0.07938937,0.080442307,1.731467236,0.082343861,4.531604058
Cab_1103 Paulsen_2,0.79805446,0.064125302,0.291711135,0.10348492,0.12183977,0.11732754,0.167054793,0.112320588,0.195966435,0.095188746,0.180544788,0.103336688,0.175660516,0.125300879,0.083600063,0.123091801,1.704457604,0.073669848,4.636735876
Cab_1103 Paulsen_3,0.657912076,0.053946445,0.513344554,0.049779604,0.341097206,0.09173253,0.209830172,0.100377175,0.210299504,0.097998847,0.230551023,0.107681655,0.130192341,0.078524226,0.120931342,0.103119467,1.547573712,0.119456142,4.764348022
Cab_1103 Paulsen_4,0.865665341,0.076594829,0.49199969,0.075622887,0.169117719,0.106672909,0.20716195,0.102386575,0.165180245,0.075077668,0.200399244,0.07718616,0.112184379,0.086316173,0.086387056,0.119425473,1.715424851,0.079189417,4.811992566
Chard_1103 Paulsen_1,0.585386082,0.067540816,0.298050807,0.071570108,0.092047297,0.068574658,0.1331464,0.059945087,0.139635162,0.05238535,0.151159812,0.059310493,0.055846899,0.064790251,0.080378328,0.065609152,1.024661885,0.052817225,3.122855813
Chard_1103 Paulsen_2,0.659025349,0.075028708,0.388940995,0.078710613,0.192237859,0.076958,0.175540173,0.073624692,0.137305109,0.068897036,0.153908752,0.077608727,0.088098101,0.059002165,0.135798029,0.093853107,1.783565897,0.057809794,4.375913106
Chard_1103 Paulsen_4,0.542475497,0.058084678,0.493652281,0.055990871,0.256860712,0.088470938,0.220089162,0.070367141,0.192319133,0.063547482,0.173088363,0.068633658,0.111197386,0.060413945,0.113536982,0.077136484,1.304504913,0.047162153,3.997531777
Cab_140 Ruggeri_1,0.626491259,0.063530168,0.220892134,0.063485251,0.300803609,0.061666547,0.201276931,0.075879352,0.218867419,0.092813361,0.210560826,0.083054869,0.082065397,0.063414554,0.049340357,0.069582681,1.300612598,0.073344736,3.857682047
Cab_140 Ruggeri_2,0.783339516,0.075236207,0.289097265,0.080876436,0.305723282,0.077706944,0.350601677,0.078913743,0.352822456,0.085473284,0.219822865,0.061290767,0.082599521,0.075565826,0.118800503,0.071812894,1.918114108,0.073600722,5.101398018
Cab_140 Ruggeri_3,0.673551415,0.08073592,0.38137783,0.075489466,0.28040691,0.084368403,0.222595701,0.092863371,0.166914797,0.094085342,0.087904144,0.075587546,0.102692346,0.10140587,0.074946523,0.057813534,1.378683727,0.143424264,4.174847108
Cab_140 Ruggeri_4,0.826847607,0.067252247,0.406146644,0.079907358,0.242322087,0.101934363,0.198206203,0.067383335,0.164648237,0.104169457,0.106393355,0.062931661,0.098746697,0.06568373,0.060279933,0.070401849,1.431930516,0.066132604,4.221317883
Chard_140 Ruggeri_1,0.389104198,0.033521488,0.24382206,0.040753065,0.114094815,0.038729853,0.189022364,0.044449574,0.217268372,0.046220679,0.068091898,0.042669513,0.076378945,0.051835841,0.036504789,0.037090356,0.790682797,0.058647256,2.518887862
Chard_140 Ruggeri_2,0.626284583,0.071188053,0.354903341,0.076185179,0.258104409,0.095877563,0.20762666,0.08054606,0.277885281,0.088801328,0.108155624,0.067675369,0.156778486,0.102468231,0.066100457,0.067776258,1.675454453,0.071719248,4.453530583
Chard_140 Ruggeri_3,0.517230015,0.048941844,0.300889592,0.046684802,0.244984003,0.057786954,0.187140046,0.049051289,0.138025764,0.055106693,0.056479993,0.052768797,0.072387149,0.05298488,0.036422433,0.037631672,0.91909533,0.072171623,2.94578288
Chard_140 Ruggeri_4,0.485252404,0.05434705,0.32240551,0.066736686,0.198904242,0.062482678,0.248679939,0.049851356,0.157201675,0.056059316,0.066494033,0.041834714,0.095372063,0.069458069,0.057688945,0.061468183,1.044051392,0.067339422,3.205627678
Cab_3309 Couderc_1,0.967546512,0.063893473,0.383605131,0.087812847,0.181051997,0.139842456,0.244244694,0.100261375,0.199000508,0.088068453,0.227929026,0.078236201,0.150309481,0.084893537,0.082588779,0.084343031,1.188504029,0.055085004,4.407216535
Cab_3309 Couderc_2,1.06846229,0.069043422,0.368499034,0.079824683,0.198436484,0.111854046,0.196242968,0.101025019,0.217000885,0.096517354,0.199894369,0.093310893,0.149362107,0.094257389,0.071206843,0.076152633,1.209139089,0.072555938,4.472785445
Cab_3309 Couderc_3,1.001681235,0.071308809,0.467410292,0.06993763,0.09967943,0.097206379,0.155567464,0.108657616,0.198985342,0.090459996,0.145643699,0.107210373,0.093437565,0.095338666,0.078244759,0.100221595,1.643950678,0.081913934,4.706855462
Cab_3309 Couderc_4,0.723939977,0.056567181,0.523021658,0.060406816,0.132540455,0.098905487,0.190180794,0.079408609,0.193449333,0.077305419,0.15051471,0.083437561,0.092505369,0.058249629,0.045240579,0.063490766,1.660454904,0.048265042,4.337884291
Chard_3309 Couderc_1,0.585376559,0.057767744,0.282860237,0.054812683,0.1228932,0.052973254,0.141699782,0.061649519,0.146350569,0.050028351,0.100844672,0.056036416,0.064818074,0.048323719,0.107415262,0.060802904,0.834155503,0.055163378,2.883971829
Chard_3309 Couderc_2,0.631236984,0.079087762,0.212204142,0.107064823,0.237909885,0.098131516,0.230734874,0.096466184,0.247261166,0.082928711,0.241433418,0.081440643,0.059688515,0.060899149,0.090027967,0.09004626,1.374982568,0.068540566,4.090085133
Chard_3309 Couderc_3,0.816603943,0.065958204,0.293910423,0.094198247,0.150398493,0.090978952,0.13204591,0.076329049,0.142316556,0.077401963,0.177877917,0.075081905,0.057801102,0.052742643,0.103544909,0.064252518,1.356101261,0.06067402,3.888218014
Chard_3309 Couderc_4,0.79940178,0.092006718,0.324680245,0.10745192,0.207558041,0.113391368,0.187495812,0.091719488,0.168236022,0.083233048,0.24575814,0.080929614,0.103043059,0.086114333,0.095925881,0.083190041,1.741440842,0.086368151,4.697944503
Cab_420 A_1,0.812931796,0.057120125,0.419764422,0.058223471,0.189441195,0.118031068,0.20757922,0.090202807,0.129786531,0.069446661,0.166711952,0.086267472,0.165287591,0.087261621,0.08151323,0.070557072,1.190744167,0.064709561,4.065579962
Cab_420 A_2,0.962638613,0.077361882,0.307677899,0.07392686,0.109674276,0.119741384,0.177739017,0.08269819,0.16773386,0.082904032,0.100425425,0.068558002,0.053011283,0.056292069,0.037477548,0.073220365,1.416667616,0.068738063,4.036486386
Chard_420 A_1,0.631141392,0.066924463,0.275674405,0.064389559,0.116824585,0.05457703,0.145430105,0.05447425,0.178320391,0.055980041,0.215006549,0.065520834,0.080592601,0.063260254,0.137173245,0.077395472,0.965000196,0.045233945,3.292919318
Chard_420 A_2,0.563206292,0.05189365,0.26708709,0.050388283,0.093270957,0.051016906,0.153538021,0.051378063,0.131584256,0.053099034,0.136403515,0.048395694,0.056138367,0.053573585,0.067889904,0.050465461,0.548213745,0.041875396,2.469418219
