vine,scion,rootstock,row,block,slice,ring,width_cm
Cab_3309 Couderc_26_3,Cab,3309 Couderc,26,3,Slice 359,1,1.006673028
Cab_039-16_27_1,Cab,039-16,27,1,Slice 716,1,0.913373535
Cab_K51-32_21_4,Cab,K51-32,21,4,Slice 1303,1,0.493393737
Chard_140 Ruggeri_14_3,Chard,140 Ruggeri,14,3,Slice 265,1,0.712742363
Chard_SO4_13_4,Chard,SO4,13,4,Slice 409,1,0.728959748
Cab_775 Paulsen_16_1,Cab,775 Paulsen,16,1,Slice 956,1,0.748316107
Cab_1103 Paulsen_28_4,Cab,1103 Paulsen,28,4,Slice 319,1,0.883071367
Chard_3309 Couderc_11_4,Chard,3309 Couderc,11,4,Slice 278,1,0.833362044
Cab_420 A_25_1,Cab,420 A,25,1,Slice 1323,1,0.777985456
Chard_K51-32_5_3,Chard,K51-32,5,3,Slice 187,1,0.749667783
Cab_110 Richter_16_3,Cab,110 Richter,16,3,Slice 260,1,0.540140949
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,1,1.210304122
Cab_K51-32_29_1,Cab,K51-32,29,1,Slice 490,1,0.930628767
Cab_140 Ruggeri_22_3,Cab,140 Ruggeri,22,3,Slice 437,1,0.687119709
Cab_775 Paulsen_19_4,Cab,775 Paulsen,19,4,Slice 1346,1,0.820528473
Chard_Kober 5BB_13_4,Chard,Kober 5BB,13,4,Slice 307,1,0.723090695
Chard_039-16_15_1,Chard,039-16,15,1,Slice 1341,1,0.553851878
Cab_SO4_20_2,Cab,SO4,20,2,Slice 864,1,0.84776129
Chard_SO4_7_3,Chard,SO4,7,3,Slice 1336,1,0.631581673
Cab_101-14 MGT_23_3,Cab,101-14 MGT,23,3,Slice 440,1,1.003992954
Chard_3309 Couderc_11_4,Chard,3309 Couderc,11,4,Slice 1100,1,0.965942238
Chard_775 Paulsen_8_2,Chard,775 Paulsen,8,2,Slice 285,1,0.690662427
Cab_Ramsey_19_3,Cab,Ramsey,19,3,Slice 814,1,1.095555732
Chard_Kober 5BB_7_3,Chard,Kober 5BB,7,3,Slice X1,1,0.845104921
Chard_Ramsey_13_3,Chard,Ramsey,13,3,Slice 750,1,0.550180542
Chard_Kober 5BB_11_1,Chard,Kober 5BB,11,1,Slice 1205,1,0.492692145
Cab_140 Ruggeri_22_1,Cab,140 Ruggeri,22,1,Slice 762,1,0.644345519
Chard_101-14 MGT_15_4,Chard,101-14 MGT,15,4,Slice 1664,1,0.849765469
Cab_SO4_23_4,Cab,SO4,23,4,Slice 785,1,0.974525211
Cab_775 Paulsen_23_2,Cab,775 Paulsen,23,2,Slice 639,1,0.820073232
Chard_775 Paulsen_3_1,Chard,775 Paulsen,3,1,Slice 174,1,0.345145274
Chard_039-16_5_4,Chard,039-16,5,4,Slice 1357,1,0.557423972
Chard_775 Paulsen_3_1,Chard,775 Paulsen,3,1,Slice 766,1,0.343711984
Chard_Kober 5BB_11_1,Chard,Kober 5BB,11,1,Slice 165,1,0.461323304
Chard_K51-32_5_3,Chard,K51-32,5,3,Slice 1314,1,0.716384801
