vine,scion,rootstock,block,year,soluble_solids_content,titratable_acidity_gL,pH,berry_weight_g,yield_kg,cluster_number,pruning_weight_kg,yield_div_pruning_weight,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width,relative_early_1,relative_late_1,relative_early_2,relative_late_2,relative_early_3,relative_late_3,relative_early_4,relative_late_4,relative_early_5,relative_late_5,relative_early_6,relative_late_6,relative_early_7,relative_late_7,relative_early_8,relative_late_8,relative_outer_rings,relative_cambium
Cab_039-16_1,Cab,039-16,1,1995,22.6,5.9,3.49,0.84,8.333333333,95,0.596666667,13.96648045,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727,0.193463003,0.018108367,0.060435042,0.022984446,0.022033204,0.013478698,0.024358431,0.018885446,0.027937987,0.019148391,0.041669934,0.024862742,0.030636993,0.017392971,0.026007166,0.020800941,0.398685994,0.019110248
Cab_039-16_1,Cab,039-16,1,1999,22.8,6.9,3.43,1.191,16.33333333,145.3333333,0.746666667,21.875,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727,0.193463003,0.018108367,0.060435042,0.022984446,0.022033204,0.013478698,0.024358431,0.018885446,0.027937987,0.019148391,0.041669934,0.024862742,0.030636993,0.017392971,0.026007166,0.020800941,0.398685994,0.019110248
Cab_039-16_1,Cab,039-16,1,1997,23.2,6.2,3.46,1.22,13,101,0.943333333,13.78091873,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727,0.193463003,0.018108367,0.060435042,0.022984446,0.022033204,0.013478698,0.024358431,0.018885446,0.027937987,0.019148391,0.041669934,0.024862742,0.030636993,0.017392971,0.026007166,0.020800941,0.398685994,0.019110248
Cab_039-16_1,Cab,039-16,1,1998,22.7,7.3,3.37,1.02,9.1,62.66666667,1.133333333,8.029411765,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727,0.193463003,0.018108367,0.060435042,0.022984446,0.022033204,0.013478698,0.024358431,0.018885446,0.027937987,0.019148391,0.041669934,0.024862742,0.030636993,0.017392971,0.026007166,0.020800941,0.398685994,0.019110248
Cab_039-16_1,Cab,039-16,1,1996,22,7.2,3.26,0.97,7.2,61.66666667,1.3,5.538461538,0.76410074,0.071460769,0.236837071,0.090812628,0.086769844,0.053142374,0.095639467,0.074635818,0.110486214,0.075078786,0.166232414,0.09847958,0.122319523,0.06958376,0.10351198,0.082813235,1.575789504,0.076293019,3.953986727,0.193463003,0.018108367,0.060435042,0.022984446,0.022033204,0.013478698,0.024358431,0.018885446,0.027937987,0.019148391,0.041669934,0.024862742,0.030636993,0.017392971,0.026007166,0.020800941,0.398685994,0.019110248
Cab_039-16_2,Cab,039-16,2,1998,22.8,6.6,3.37,1.16,9.3,82.33333333,1.366666667,6.804878049,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704,0.214688779,0.019780292,0.134901349,0.01768836,0.050412891,0.018629567,0.037580572,0.020604732,0.029178511,0.020756626,0.032221344,0.014043453,0.016639596,0.015228887,0.012124199,0.013303252,0.312859232,0.019358359
Cab_039-16_2,Cab,039-16,2,1995,22.2,6.9,3.51,1.33,13.33333333,93.66666667,1.116666667,11.94029851,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704,0.214688779,0.019780292,0.134901349,0.01768836,0.050412891,0.018629567,0.037580572,0.020604732,0.029178511,0.020756626,0.032221344,0.014043453,0.016639596,0.015228887,0.012124199,0.013303252,0.312859232,0.019358359
Cab_039-16_2,Cab,039-16,2,1999,22.1,6.1,3.6,1.551,20.66666667,151.3333333,1.063333333,19.43573668,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704,0.214688779,0.019780292,0.134901349,0.01768836,0.050412891,0.018629567,0.037580572,0.020604732,0.029178511,0.020756626,0.032221344,0.014043453,0.016639596,0.015228887,0.012124199,0.013303252,0.312859232,0.019358359
Cab_039-16_2,Cab,039-16,2,1996,22.8,6.8,3.38,1.32,13,87,2.7,4.814814815,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704,0.214688779,0.019780292,0.134901349,0.01768836,0.050412891,0.018629567,0.037580572,0.020604732,0.029178511,0.020756626,0.032221344,0.014043453,0.016639596,0.015228887,0.012124199,0.013303252,0.312859232,0.019358359
Cab_039-16_2,Cab,039-16,2,1997,21.4,6.5,3.42,1.37,20.66666667,137,1.243333333,16.62198391,0.908112257,0.084251026,0.568801108,0.075444595,0.213741604,0.078876983,0.158137394,0.087092186,0.122316715,0.08850798,0.135303922,0.058985181,0.0709188,0.064427898,0.051209619,0.055445496,1.319216441,0.082846499,4.223635704,0.214688779,0.019780292,0.134901349,0.01768836,0.050412891,0.018629567,0.037580572,0.020604732,0.029178511,0.020756626,0.032221344,0.014043453,0.016639596,0.015228887,0.012124199,0.013303252,0.312859232,0.019358359
Cab_039-16_3,Cab,039-16,3,1995,22.2,6.9,3.4,1.11,16.33333333,121,1.266666667,12.89473684,1.021586799,0.085380377,0.419415791,0.061596384,0.118299694,0.085395156,0.208996981,0.105567237,0.204758315,0.071342239,0.181090012,0.102448942,0.073161428,0.076335394,0.077664587,0.093484723,1.27381767,0.070953221,4.33129495,0.236017895,0.019722575,0.096838711,0.014220064,0.027330152,0.019657436,0.048249775,0.024335235,0.047333642,0.016465648,0.041787479,0.023601894,0.016885118,0.017589269,0.017949651,0.021572809,0.29406449,0.016378158
